head	rel	tail
/m/04nrcg	/soccer/football_team/current_roster./soccer/football_roster_position/position	/m/02sdk9v
/m/04ljl_l	/award/award_category/nominees./award/award_nomination/nominated_for	/m/03qcfvw
/m/0grwj	/people/person/profession	/m/05sxg2
/m/02y_lrp	/film/film/country	/m/09c7w0
/m/018js4	/film/film/country	/m/09c7w0
/m/03c7ln	/music/artist/track_contributions./music/track_contribution/role	/m/026t6
/m/02wh75	/award/award_category/winners./award/award_honor/award_winner	/m/0lbj1
/m/0c3ybss	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/m/09c7w0
/m/05bp8g	/people/person/nationality	/m/03_3d
/m/0cnl80	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/m/083chw
/m/049tjg	/film/actor/film./film/performance/film	/m/05jf85
/m/05r5c	/music/instrument/instrumentalists	/m/0c9d9
/m/060c4	/organization/role/leaders./organization/leadership/organization	/m/04wlz2
/m/01gxqf	/soccer/football_team/current_roster./soccer/football_roster_position/position	/m/02sdk9v
/m/05ty4m	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/m/0bvn25
/m/05cj4r	/award/award_nominee/award_nominations./award/award_nomination/award	/m/0bfvw2
/m/03ckxdg	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/m/02_1q9
/m/0dtw1x	/film/film/other_crew./film/film_crew_gig/crewmember	/m/01yznp
/m/025h4z	/award/award_nominee/award_nominations./award/award_nomination/award	/m/0bp_b2
/m/0223bl	/sports/sports_team/sport	/m/02vx4
/m/0m0jc	/music/genre/artists	/m/01pfr3
/m/0gq_v	/award/award_category/nominees./award/award_nomination/nominated_for	/m/0ds11z
/m/0159h6	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/m/0h5g_
/m/0c4f4	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/m/0bxtg
/m/0ds35l9	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/m/047lj
/m/02rgz4	/people/person/places_lived./people/place_lived/location	/m/018jk2
/m/04bs3j	/film/actor/film./film/performance/film	/m/02v8kmz
/m/05v8c	/base/aareas/schema/administrative_area/administrative_parent	/m/02j71
/m/01nqfh_	/people/person/profession	/m/01c8w0
/m/0342h	/music/instrument/instrumentalists	/m/032t2z
/m/02r_d4	/people/person/gender	/m/05zppz
/m/0284n42	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/m/0pc62
/m/0146pg	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/m/0dqytn
/m/06y9c2	/people/person/gender	/m/05zppz
/m/0fgpvf	/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for	/m/0209xj
/m/07k53y	/sports/sports_team/roster./american_football/football_historical_roster_position/position_s	/m/02vkdwz
/m/02qggqc	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/m/0fg04
/m/05gml8	/base/popstra/celebrity/friendship./base/popstra/friendship/participant	/m/03m8lq
/m/0hmr4	/award/award_winning_work/awards_won./award/award_honor/award_winner	/m/01csvq
/m/05jx2d	/sports/sports_team/sport	/m/02vx4
/m/0c_j5d	/organization/organization/headquarters./location/mailing_address/citytown	/m/02_286
/m/07lt7b	/award/award_nominee/award_nominations./award/award_nomination/award	/m/094qd5
/m/0jf1b	/award/award_nominee/award_nominations./award/award_nomination/award	/m/0dzfdw
/m/012cj0	/people/person/nationality	/m/09c7w0
/m/0p_sc	/award/award_winning_work/awards_won./award/award_honor/award_winner	/m/05kfs
/m/0d0vqn	/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics	/m/018ctl
/m/02z9hqn	/film/film/country	/m/03_3d
/m/09qv3c	/award/award_category/nominees./award/award_nomination/nominated_for	/m/02nf2c
/m/0152cw	/people/person/profession	/m/0cbd2
/m/0hr3c8y	/award/award_ceremony/awards_presented./award/award_honor/award_winner	/m/08w7vj
/m/01yk13	/award/award_nominee/award_nominations./award/award_nomination/award	/m/0cqh46
/m/05lls	/music/genre/artists	/m/0pcc0
/m/0342h	/music/performance_role/track_performances./music/track_contribution/role	/m/03m5k
/m/0fkvn	/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office	/m/07cfx
/m/065b6q	/people/ethnicity/people	/m/0htlr
/m/01lbp	/people/person/spouse_s./people/marriage/type_of_union	/m/04ztj
/m/01jv_6	/sports/sports_team/roster./american_football/football_roster_position/position	/m/06b1q
/m/03d_w3h	/award/award_nominee/award_nominations./award/award_nomination/award	/m/0fq9zdn
/m/01hhvg	/education/educational_institution/students_graduates./education/education/major_field_of_study	/m/036hv
/m/0342h	/music/instrument/instrumentalists	/m/03f5spx
/m/01q7cb_	/base/popstra/celebrity/dated./base/popstra/dated/participant	/m/03knl
/m/0m_mm	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/m/0k6nt
/m/01tspc6	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/m/0151w_
/m/0_b3d	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/m/03gj2
/m/0c3ybss	/film/film/country	/m/09c7w0
/m/03x3wf	/award/award_category/winners./award/award_honor/award_winner	/m/01vrncs
/m/01p7yb	/people/person/profession	/m/02hrh1q
/m/0jjy0	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/m/03_3d
/m/0_92w	/award/award_winning_work/awards_won./award/award_honor/award_winner	/m/039bp
/m/01gjd0	/military/military_conflict/combatants./military/military_combatant_group/combatants	/m/0chghy
/m/049n7	/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft	/m/02x2khw
/m/02lfcm	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/m/02lfns
/m/02_5h	/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country	/m/03_3d
/m/05m883	/award/award_nominee/award_nominations./award/award_nomination/award	/m/02n9nmz
/m/01vrt_c	/base/popstra/celebrity/friendship./base/popstra/friendship/participant	/m/02lnhv
