head	rel	tail
/m/07s9rl0	/media_common/netflix_genre/titles	/m/0170z3
/m/03qcq	/influence/influence_node/influenced_by	/m/084w8
/m/0gtsx8c	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/m/0jgd
/m/0sxg4	/film/film/genre	/m/04xvlr
/m/0fvf9q	/award/award_winner/awards_won./award/award_honor/award_winner	/m/0l6qt
/m/01k7d9	/people/deceased_person/place_of_death	/m/0k049
/m/06688p	/film/actor/film./film/performance/film	/m/0b2v79
/m/0520r2x	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/m/0cb77r
/m/01ypc	/sports/sports_team/roster./baseball/baseball_roster_position/position	/m/02dwn9
/m/01gbcf	/music/genre/parent_genre	/m/016clz
/m/02sgy	/music/performance_role/guest_performances./music/recording_contribution/performance_role	/m/0l14md
/m/04cy8rb	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/m/07gp9
/m/0495ys	/government/legislative_session/members./government/government_position_held/legislative_sessions	/m/05l2z4
/m/0h5f5n	/people/person/places_lived./people/place_lived/location	/m/04jpl
/m/0m2wm	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/m/02zq43
/m/01k1k4	/film/film/genre	/m/05p553
/m/020qr4	/tv/tv_program/languages	/m/02bjrlw
/m/0m2kd	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/m/0jgd
/m/054_mz	/award/award_nominee/award_nominations./award/award_nomination/award	/m/040njc
/m/0fp_v1x	/people/person/places_lived./people/place_lived/location	/m/09bjv
/m/052nd	/education/educational_institution_campus/educational_institution	/m/052nd
/m/015pdg	/music/genre/artists	/m/0m2l9
/m/0sx7r	/olympics/olympic_games/sports	/m/01dys
/m/0lhp1	/soccer/football_team/current_roster./sports/sports_team_roster/position	/m/02_j1w
/m/01j_9c	/education/educational_institution/students_graduates./education/education/student	/m/02mslq
/m/0151ns	/award/award_nominee/award_nominations./award/award_nomination/award	/m/05b4l5x
/m/01fpvz	/education/educational_institution_campus/educational_institution	/m/01fpvz
/m/01fc7p	/base/culturalevent/event/entity_involved	/m/0bq0p9
/m/01kwld	/award/award_winner/awards_won./award/award_honor/award_winner	/m/09wj5
/m/0kzy0	/people/person/profession	/m/0gbbt
/m/03lpp_	/sports/sports_team/colors	/m/083jv
/m/07gyv	/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country	/m/027rn
/m/064t9	/music/genre/artists	/m/0168cl
/m/025vry	/people/deceased_person/place_of_death	/m/0f2wj
/m/01ct6	/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft	/m/0g3zpp
/m/04zx3q1	/education/educational_degree/people_with_this_degree./education/education/institution	/m/065y4w7
/m/01w3v	/education/educational_institution/students_graduates./education/education/major_field_of_study	/m/05qjt
/m/042rnl	/film/director/film	/m/02z3r8t
/m/0jzw	/film/film/genre	/m/03k9fj
/m/0164qt	/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for	/m/02sg5v
/m/01pcq3	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/m/03h_9lg
/m/07p__7	/government/legislative_session/members./government/government_position_held/legislative_sessions	/m/05l2z4
/m/05kjc6	/soccer/football_team/current_roster./soccer/football_roster_position/position	/m/02_j1w
/m/019lwb	/soccer/football_team/current_roster./soccer/football_roster_position/position	/m/02nzb8
/m/0dky9n	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/m/0147sh
/m/01v3s2_	/base/saturdaynightlive/snl_cast_member/seasons./base/saturdaynightlive/snl_season_tenure/cast_members	/m/0pz7h
/m/019rg5	/organization/organization_member/member_of./organization/organization_membership/organization	/m/02vk52z
/m/0l14qv	/music/performance_role/track_performances./music/track_contribution/role	/m/050rj
/m/09fqtq	/award/award_winner/awards_won./award/award_honor/award_winner	/m/01sp81
/m/0bn9sc	/sports/pro_athlete/teams./sports/sports_team_roster/team	/m/02279c
/m/02wzl1d	/award/award_ceremony/awards_presented./award/award_honor/honored_for	/m/0b6tzs
/m/040njc	/award/award_category/nominees./award/award_nomination/nominated_for	/m/017gl1
/m/0fvf9q	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/m/0yfp
/m/05p1tzf	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/m/0154j
/m/0bwfwpj	/film/film/genre	/m/06n90
/m/05fhy	/location/location/adjoin_s./location/adjoining_relationship/adjoins	/m/04ych
/m/09_bl	/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country	/m/05qhw
/m/05zr6wv	/award/award_category/nominees./award/award_nomination/nominated_for	/m/02qm_f
/m/049yf	/location/location/contains	/m/05gqf
/m/04v3q	/organization/organization_member/member_of./organization/organization_membership/organization	/m/01rz1
/m/0f3zf_	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/m/0k2sk
/m/0l6m5	/olympics/olympic_games/sports	/m/096f8
/m/0cqh6z	/award/award_category/winners./award/award_honor/ceremony	/m/09qvms
/m/047g8h	/sports/sports_position/players./sports/sports_team_roster/team	/m/01y3c
/m/02bqn1	/government/legislative_session/members./government/government_position_held/district_represented	/m/059_c
/m/099c8n	/award/award_category/nominees./award/award_nomination/nominated_for	/m/0c0nhgv
/m/04qvl7	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/m/0dnvn3
/m/04n7njg	/people/person/profession	/m/09jwl
/m/02w9895	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/m/02pkpfs
/m/02sjf5	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/m/04cf09
/m/0sz28	/film/actor/film./film/performance/film	/m/0gjk1d
/m/01ztgm	/people/person/places_lived./people/place_lived/location	/m/0fvxz
/m/018vs	/music/performance_role/track_performances./music/track_contribution/role	/m/01qbl
/m/07s9rl0	/media_common/netflix_genre/titles	/m/026390q
/m/020fcn	/award/award_winning_work/awards_won./award/award_honor/award	/m/0gr0m
/m/04gzd	/location/location/contains	/m/07_kq
/m/0137n0	/music/group_member/membership./music/group_membership/group	/m/01v0sx2
/m/0358x_	/award/award_winning_work/awards_won./award/award_honor/award_winner	/m/04wtx1
/m/05k2s_	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/m/04bdxl
/m/01vs14j	/music/artist/track_contributions./music/track_contribution/role	/m/0dwsp
/m/0pz91	/award/award_nominee/award_nominations./award/award_nomination/award	/m/05pcn59
/m/0bwh6	/award/award_nominee/award_nominations./award/award_nomination/award	/m/09sb52
/m/01yh3y	/people/person/profession	/m/0np9r
/m/05mt_q	/award/award_nominee/award_nominations./award/award_nomination/award	/m/01c427
/m/01k8rb	/base/popstra/celebrity/friendship./base/popstra/friendship/participant	/m/01j4ls
/m/04mz10g	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/m/04y79_n
/m/07qg8v	/film/film/country	/m/0f8l9c
/m/017zq0	/education/educational_institution/campuses	/m/017zq0
/m/0jqn5	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/m/06qd3
/m/02g87m	/award/award_winner/awards_won./award/award_honor/award_winner	/m/03n08b
/m/0gtvrv3	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/m/0fq8f
/m/03twd6	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/m/07t21
/m/0d_q40	/soccer/football_team/current_roster./sports/sports_team_roster/position	/m/02nzb8
/m/029sk	/medicine/disease/notable_people_with_this_condition	/m/01pw2f1
/m/02r4qs	/people/person/places_lived./people/place_lived/location	/m/0wp9b
/m/01t8sr	/education/educational_institution/school_type	/m/01_9fk
/m/09z2b7	/film/film/genre	/m/060__y
/m/05pd94v	/award/award_ceremony/awards_presented./award/award_honor/award_winner	/m/07z542
/m/0fpjd_g	/music/artist/track_contributions./music/track_contribution/role	/m/0dwsp
/m/03ttfc	/people/ethnicity/people	/m/01qscs
/m/04l8xw	/organization/organization/headquarters./location/mailing_address/citytown	/m/0f2wj
/m/03fn8k	/soccer/football_team/current_roster./sports/sports_team_roster/position	/m/02_j1w
/m/0pmpl	/location/location/time_zones	/m/02fqwt
/m/07l24	/sports/sports_team/roster./american_football/football_roster_position/position	/m/047g8h
/m/018vs	/music/instrument/instrumentalists	/m/012x4t
/m/024l2y	/film/film/story_by	/m/032v0v
/m/080dyk	/sports/pro_athlete/teams./sports/sports_team_roster/team	/m/0182r9
/m/06cv1	/people/person/places_lived./people/place_lived/location	/m/0f2w0
