head	rel	tail
6150633	_hypernym	6149484
4105893	_has_part	4546855
1239619	_hypernym	1236164
42757	_derivationally_related_form	1848718
1650509	_hypernym	1626600
9482131	_instance_hypernym	9411430
2267975	_member_meronym	2268148
522145	_hypernym	521562
654234	_hypernym	981830
5713737	_derivationally_related_form	2123672
13169674	_member_meronym	13184492
1945845	_hypernym	1942177
4907575	_hypernym	4907269
14449405	_derivationally_related_form	2297409
4728376	_derivationally_related_form	2341266
1912272	_member_meronym	1913035
192836	_derivationally_related_form	4631700
1113473	_hypernym	1111816
11875100	_member_meronym	11878283
339085	_derivationally_related_form	3141702
941990	_derivationally_related_form	10630188
10512708	_hypernym	10677271
143914	_hypernym	142191
5701363	_derivationally_related_form	341285
13169219	_member_meronym	13192025
925110	_derivationally_related_form	4757522
5395548	_hypernym	5395286
100044	_hypernym	99721
948071	_derivationally_related_form	634586
1086081	_derivationally_related_form	2199590
384329	_synset_domain_topic_of	6262567
128638	_hypernym	125629
9068444	_has_part	9069752
10248198	_synset_domain_topic_of	5946687
2374451	_has_part	2462602
212065	_derivationally_related_form	2264179
912473	_derivationally_related_form	7120524
9068921	_instance_hypernym	8633957
11629501	_member_meronym	11639863
2048051	_hypernym	2045790
2468965	_hypernym	2467662
6090869	_hypernym	6000400
1929396	_member_meronym	1929951
9050730	_has_part	9093608
5779371	_derivationally_related_form	633443
733483	_derivationally_related_form	2018524
7410021	_derivationally_related_form	1236164
1191645	_derivationally_related_form	4884627
965035	_derivationally_related_form	7217924
10633450	_hypernym	9626589
11629501	_member_meronym	11633116
1500873	_synset_domain_topic_of	916464
12193334	_hypernym	13134947
2353861	_hypernym	2331309
1207609	_derivationally_related_form	2555434
2457756	_hypernym	1864707
8414608	_derivationally_related_form	10396106
1946408	_derivationally_related_form	351334
3876519	_hypernym	3453809
2661017	_hypernym	2657368
9070793	_has_part	2956500
8553535	_has_part	8549733
10077593	_derivationally_related_form	1828736
745499	_derivationally_related_form	6529219
47945	_derivationally_related_form	2756098
7486922	_hypernym	7486628
4956594	_derivationally_related_form	281101
7048000	_has_part	7050177
2075727	_member_meronym	2079170
1871979	_derivationally_related_form	11458624
304662	_hypernym	304422
15282696	_derivationally_related_form	2055649
775156	_derivationally_related_form	1170813
2651014	_derivationally_related_form	10126177
2053720	_member_meronym	2053859
1081152	_hypernym	1078783
389308	_hypernym	385791
8013653	_instance_hypernym	8392137
893955	_derivationally_related_form	603298
2419515	_hypernym	1864707
2246284	_hypernym	1759182
2210855	_derivationally_related_form	8419163
13501059	_hypernym	13459322
1577659	_hypernym	1576695
1644746	_hypernym	1617192
5838176	_derivationally_related_form	697589
5549830	_has_part	5548840
956687	_hypernym	609683
3513137	_hypernym	3502509
6201908	_derivationally_related_form	2513742
2568065	_derivationally_related_form	746232
1088923	_hypernym	1850315
6481320	_derivationally_related_form	946755
509377	_derivationally_related_form	184117
2354950	_hypernym	1342529
1845627	_member_meronym	1856225
6136258	_hypernym	5999797
6677302	_derivationally_related_form	1747945
2069551	_hypernym	1850315
462092	_derivationally_related_form	1079604
5633385	_derivationally_related_form	1639714
7561112	_derivationally_related_form	1189224
4687333	_hypernym	4686003
47945	_derivationally_related_form	3419014
374224	_derivationally_related_form	227165
15094294	_hypernym	14938907
1173826	_hypernym	1170962
10282014	_synset_domain_topic_of	6234825
120010	_derivationally_related_form	1966861
917211	_hypernym	916464
1389188	_member_meronym	1416354
8101937	_derivationally_related_form	2737187
12792638	_member_meronym	12794568
2538086	_hypernym	2458103
2256365	_hypernym	1759182
4689450	_hypernym	4688246
4052757	_has_part	3108069
12794367	_hypernym	12793015
160688	_derivationally_related_form	1428578
13461951	_hypernym	13459322
6031248	_derivationally_related_form	713996
8765890	_has_part	8766846
2213074	_hypernym	2510337
1364162	_hypernym	1355326
2051213	_hypernym	1342529
1360330	_member_meronym	1363423
800930	_hypernym	685683
4169707	_derivationally_related_form	189511
2402409	_derivationally_related_form	10527334
425905	_hypernym	419644
2504017	_derivationally_related_form	207622
2174662	_derivationally_related_form	7377682
