head	rel	tail
6066555	_derivationally_related_form	645415
1698271	_also_see	1754576
3631445	_derivationally_related_form	1521603
2261757	_hypernym	2261419
11647131	_hypernym	11554175
7047804	_synset_domain_topic_of	7020895
8929922	_member_of_domain_region	13753430
4060647	_derivationally_related_form	2107248
1718867	_also_see	612114
689729	_hypernym	671351
634472	_derivationally_related_form	5651680
631391	_also_see	1878466
2062212	_derivationally_related_form	290276
2469588	_hypernym	1342529
8806897	_member_meronym	9716933
2423465	_hypernym	1864707
628491	_derivationally_related_form	5786372
13345286	_hypernym	13344804
4063373	_derivationally_related_form	998399
94460	_derivationally_related_form	41899
10118382	_derivationally_related_form	605310
400883	_derivationally_related_form	7357679
284669	_derivationally_related_form	3789603
5301908	_has_part	5305806
1672607	_also_see	485711
3399047	_hypernym	4161358
1725712	_also_see	1256332
260648	_derivationally_related_form	266806
589624	_derivationally_related_form	7538965
7248653	_derivationally_related_form	2302817
9407043	_derivationally_related_form	25654
7206887	_synset_domain_topic_of	6163751
2475261	_hypernym	803325
11813830	_hypernym	11573660
523436	_derivationally_related_form	4951186
2401661	_hypernym	1864707
9444100	_hypernym	9239740
503982	_also_see	889831
7143624	_derivationally_related_form	876665
2747667	_derivationally_related_form	549106
2367678	_hypernym	1864707
8849372	_instance_hypernym	8524735
8771116	_instance_hypernym	8524735
4097256	_hypernym	3720163
1497736	_derivationally_related_form	6607339
583523	_verb_group	583242
549106	_derivationally_related_form	2747667
14031523	_derivationally_related_form	406243
8415272	_hypernym	8414119
9421191	_instance_hypernym	9411430
2506361	_derivationally_related_form	7520612
267041	_derivationally_related_form	14577469
1477184	_hypernym	1342529
10334957	_derivationally_related_form	1921964
11845387	_member_meronym	11845557
1870867	_derivationally_related_form	329031
3839993	_hypernym	4341686
4735233	_derivationally_related_form	2504131
5603160	_derivationally_related_form	1201089
2504131	_derivationally_related_form	4735233
1796346	_derivationally_related_form	7520112
733632	_hypernym	670991
11856389	_hypernym	11573660
13760316	_hypernym	13576355
371487	_hypernym	371314
7225696	_hypernym	7224151
13926932	_hypernym	13925752
1078783	_derivationally_related_form	1169744
691050	_hypernym	671351
8540903	_has_part	8537837
2251743	_hypernym	2199590
11498203	_derivationally_related_form	2713852
482298	_has_part	566298
8811215	_has_part	8805801
9038597	_instance_hypernym	8557482
1359432	_derivationally_related_form	2861509
60833	_derivationally_related_form	692349
1300655	_hypernym	1301051
1569181	_hypernym	1323958
5036394	_derivationally_related_form	227165
1229976	_derivationally_related_form	334935
2033137	_hypernym	1907258
2377938	_derivationally_related_form	8236621
14010927	_derivationally_related_form	1861403
800421	_derivationally_related_form	10084635
1428155	_hypernym	1342529
14043882	_derivationally_related_form	1569181
4820908	_hypernym	4820258
873469	_hypernym	872886
6615927	_hypernym	6613686
6644393	_hypernym	6798750
5999540	_has_part	5999797
11536778	_member_meronym	11538935
7962991	_hypernym	7961480
1283208	_derivationally_related_form	4369025
1796582	_derivationally_related_form	1743217
9830629	_derivationally_related_form	2769748
5841029	_hypernym	5839024
1327028	_hypernym	4475
15067025	_hypernym	14989545
2273545	_hypernym	1342529
478830	_derivationally_related_form	7334490
797299	_derivationally_related_form	10037385
2205896	_member_meronym	2206624
12398990	_member_meronym	12399132
4671841	_derivationally_related_form	718924
12834408	_hypernym	11566230
2722458	_hypernym	3157987
14359174	_hypernym	14299637
5573895	_has_part	5574151
12599435	_hypernym	12598826
1588134	_derivationally_related_form	3327234
722479	_synset_domain_topic_of	523513
1048492	_hypernym	907147
13426376	_derivationally_related_form	1643657
8766988	_has_part	8774912
5799581	_derivationally_related_form	2532261
2771320	_derivationally_related_form	7996412
1174555	_derivationally_related_form	2399424
5293944	_hypernym	5293597
13659604	_hypernym	13649268
426928	_derivationally_related_form	2418421
67999	_hypernym	72989
21997	_synset_domain_topic_of	671351
2023600	_derivationally_related_form	7991364
14747587	_hypernym	14745635
2316304	_derivationally_related_form	212808
4464211	_hypernym	8616311
4050410	_derivationally_related_form	1575146
9853305	_hypernym	10640620
953216	_derivationally_related_form	7221756
1566185	_derivationally_related_form	7353075
58135	_hypernym	56930
1892271	_hypernym	1864707
7252764	_derivationally_related_form	794079
2538010	_hypernym	2537085
923995	_derivationally_related_form	1654628
12333397	_member_meronym	12333530
10342543	_derivationally_related_form	1044533
227165	_hypernym	156601
2553196	_member_meronym	2612393
1101391	_derivationally_related_form	4764412
15264363	_hypernym	15122011
153263	_derivationally_related_form	13497135
6021761	_derivationally_related_form	639998
1548718	_derivationally_related_form	3294833
2245592	_hypernym	1342529
3722288	_hypernym	3748162
3008275	_hypernym	3304730
9983572	_derivationally_related_form	595785
9998907	_derivationally_related_form	1675963
1636984	_hypernym	1626600
9941383	_hypernym	9623038
12372708	_hypernym	11565385
9207288	_has_part	8723006
11596845	_member_meronym	11598991
676450	_derivationally_related_form	161243
2026798	_hypernym	1507175
7836456	_synset_domain_topic_of	243918
6154724	_hypernym	4929422
8889657	_instance_hypernym	8524735
8701942	_has_part	8503921
328128	_hypernym	109660
1004775	_hypernym	996969
13537894	_derivationally_related_form	1551195
1721754	_derivationally_related_form	10201535
10125561	_derivationally_related_form	592652
1522716	_derivationally_related_form	954086
8728268	_instance_hypernym	8633957
10039164	_hypernym	9908273
10328782	_derivationally_related_form	13966007
14299637	_hypernym	5823932
8175700	_hypernym	9941964
1439604	_hypernym	1215421
10612931	_hypernym	10197967
796976	_derivationally_related_form	76341
14210971	_derivationally_related_form	2656218
2424128	_derivationally_related_form	13996571
3417749	_has_part	3899768
1568493	_member_meronym	1568892
9039411	_has_part	9040601
8984457	_instance_hypernym	8524735
12105578	_hypernym	12105125
2551824	_hypernym	1342529
189511	_hypernym	187526
494907	_derivationally_related_form	4650527
9275016	_has_part	9207288
2320374	_derivationally_related_form	13306870
6021761	_hypernym	6021499
5079866	_hypernym	4997988
8019523	_instance_hypernym	8392137
8811473	_instance_hypernym	8524735
12876032	_hypernym	11566230
11372599	_instance_hypernym	10794014
14007546	_hypernym	14006945
9339512	_instance_hypernym	9411430
13524191	_hypernym	13513747
5414147	_hypernym	5407119
4578708	_hypernym	3738472
9207288	_has_part	8906374
1507006	_hypernym	1506812
2265231	_derivationally_related_form	5802185
10514429	_synset_domain_topic_of	523513
1005579	_hypernym	996969
1549187	_hypernym	173338
1569566	_hypernym	1494310
5277728	_derivationally_related_form	14757848
6295235	_member_of_domain_usage	9824609
